puzzle_index,agent_move_index,fen,rating,themes,expected_move_uci,legal_move_count,reference_top_move_uci,candidate_top_move_uci,top1_agreement,reference_correct,candidate_correct,reference_entropy,candidate_entropy,entropy_delta,reference_correct_probability,candidate_correct_probability,correct_probability_delta,kl_reference_to_candidate,js_divergence
0,0,6rk/pp6/2n5/3ppn1p/3p4/2P2P1q/PP3QNB/R5RK b - - 3 29,1286,crushing kingsideAttack master middlegame pin short,f5g3,40,h3g3,h3g3,1,0,0,1.491092710795157,1.4274689914309044,-0.0636237193642526,0.17333189092281096,0.1694378588428811,-0.00389403207992986,0.0023111600328569984,0.0005649654288240228
0,1,6rk/pp6/2n5/3pp2p/3p4/2P2PQq/PP4NB/R5RK b - - 0 30,1286,crushing kingsideAttack master middlegame pin short,g8g3,34,g8g3,g8g3,1,1,1,0.6828933514970676,0.6794368560423953,-0.0034564954546723037,0.5956249777105059,0.6005644368528581,0.004939459142352165,7.134315836586198e-05,1.7572713931936522e-05
1,0,8/7R/5p2/p7/7P/2p5/3k2N1/1K6 b - - 0 48,1197,advancedPawn crushing defensiveMove deflection endgame long promotion,c3c2,6,c3c2,c3c2,1,1,1,0.37599880200298885,0.3897442017132542,0.013745399710265338,0.9169896994771571,0.9119296123697116,-0.005060087107445543,0.00039374616800944354,9.934958312568878e-05
1,1,8/7R/5p2/p7/7P/8/K1pk2N1/8 b - - 1 49,1197,advancedPawn crushing defensiveMove deflection endgame long promotion,c2c1q,11,c2c1q,a5a4,0,1,0,1.0466219067026048,0.9824568703460361,-0.06416503635656867,0.4577911988365131,0.44383983732966975,-0.01395136150684334,0.004191365148974372,0.0010181215774695959
1,2,8/3R4/5p2/p7/7P/8/K2k2N1/2q5 b - - 1 50,1197,advancedPawn crushing defensiveMove deflection endgame long promotion,d2e2,3,d2c2,d2c2,1,0,0,0.5143170090422434,0.5682511702111364,0.053934161168892936,0.04733920771868218,0.05484715226696027,0.007507944548278092,0.0020398541022187393,0.0005199007892862507
2,0,1r6/pp2kppQ/2n1p1n1/3p2P1/5P2/2PqP3/PP1N4/2KR3R b - - 4 27,1957,long mate mateIn3 middlegame queensideAttack sacrifice,c6b4,43,d3c3,d3c3,1,0,0,0.8199389187115658,0.8035249840302088,-0.01641393468135699,0.002063656669803808,0.002040204934534165,-2.34517352696432e-05,0.0036946582759201235,0.0009138367149540277
2,1,1r6/pp2kppQ/4p1n1/3p2P1/1P3P2/3qP3/PP1N4/2KR3R b - - 0 28,1957,long mate mateIn3 middlegame queensideAttack sacrifice,b8c8,40,b8c8,b8c8,1,1,1,1.352299616902509,1.1334917593195994,-0.21880785758290955,0.5291237533404601,0.6511411186944408,0.12201736535398067,0.0334896234246006,0.008151331304333594
2,2,2r5/pp2kppQ/4p1n1/3p2P1/1PN2P2/3qP3/PP6/2KR3R b - - 2 29,1957,long mate mateIn3 middlegame queensideAttack sacrifice,c8c4,43,c8c4,c8c4,1,1,1,0.5332789577001109,0.4340298081392551,-0.09924914956085579,0.8778220389713793,0.9056149855443788,0.027792946572999466,0.0047718829757660425,0.0011251253549662526
3,0,6k1/2R3pp/2p4q/1p1p4/3P4/P7/1PP2R2/1K1Nr3 w - - 4 33,976,endgame mate mateIn2 short,c7c8,26,c7c8,c7c8,1,1,1,0.4520375465097245,0.34922410798189757,-0.10281343852782693,0.9175983567878505,0.9397061909224921,0.02210783413464157,0.004417233912240942,0.0010351830543402635
3,1,2R1r1k1/6pp/2p4q/1p1p4/3P4/P7/1PP2R2/1K1N4 w - - 6 34,976,endgame mate mateIn2 short,c8e8,26,c8e8,c8e8,1,1,1,9.392319173368035e-05,6.765616243529947e-05,-2.6267029298380885e-05,0.9999934286322686,0.9999953584888744,1.9298566058534306e-06,3.731441623667663e-07,8.71897997757413e-08
