episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
1,40000,white,1/2-1/2,0.0,0.5,100,max_plies,False
2,40001,black,0-1,1.0,1.0,52,checkmate,False
3,40002,white,1/2-1/2,0.0,0.5,100,max_plies,False
4,40003,black,1/2-1/2,0.0,0.5,35,threefold_repetition,False
5,40004,white,1/2-1/2,0.0,0.5,100,max_plies,False
6,40005,black,1/2-1/2,0.0,0.5,100,max_plies,False
7,40006,white,1/2-1/2,0.0,0.5,100,max_plies,False
8,40007,black,1/2-1/2,0.0,0.5,100,max_plies,False
9,40008,white,1/2-1/2,0.0,0.5,100,max_plies,False
10,40009,black,1/2-1/2,0.0,0.5,100,max_plies,False
11,40010,white,1/2-1/2,0.0,0.5,100,max_plies,False
12,40011,black,0-1,1.0,1.0,26,checkmate,False
13,40012,white,1/2-1/2,0.0,0.5,79,threefold_repetition,False
14,40013,black,0-1,1.0,1.0,92,checkmate,False
15,40014,white,1-0,1.0,1.0,11,checkmate,False
16,40015,black,0-1,1.0,1.0,60,checkmate,False
17,40016,white,1/2-1/2,0.0,0.5,100,max_plies,False
18,40017,black,1/2-1/2,0.0,0.5,82,stalemate,False
19,40018,white,1/2-1/2,0.0,0.5,99,threefold_repetition,False
20,40019,black,1/2-1/2,0.0,0.5,100,max_plies,False
21,40020,white,1-0,1.0,1.0,41,checkmate,False
22,40021,black,1/2-1/2,0.0,0.5,33,threefold_repetition,False
23,40022,white,1-0,1.0,1.0,33,checkmate,False
24,40023,black,0-1,1.0,1.0,16,checkmate,False
25,40024,white,1-0,1.0,1.0,65,checkmate,False
26,40025,black,0-1,1.0,1.0,86,checkmate,False
27,40026,white,1/2-1/2,0.0,0.5,100,max_plies,False
28,40027,black,0-1,1.0,1.0,68,checkmate,False
29,40028,white,1-0,1.0,1.0,29,checkmate,False
30,40029,black,1/2-1/2,0.0,0.5,100,max_plies,False
31,40030,white,1-0,1.0,1.0,91,checkmate,False
32,40031,black,1/2-1/2,0.0,0.5,100,max_plies,False
33,40032,white,1/2-1/2,0.0,0.5,100,max_plies,False
34,40033,black,1/2-1/2,0.0,0.5,100,max_plies,False
35,40034,white,1-0,1.0,1.0,85,checkmate,False
36,40035,black,0-1,1.0,1.0,26,checkmate,False
37,40036,white,1-0,1.0,1.0,29,checkmate,False
38,40037,black,0-1,1.0,1.0,22,checkmate,False
39,40038,white,1/2-1/2,0.0,0.5,98,threefold_repetition,False
40,40039,black,1/2-1/2,0.0,0.5,100,max_plies,False
41,40040,white,1-0,1.0,1.0,79,checkmate,False
42,40041,black,1/2-1/2,0.0,0.5,100,max_plies,False
43,40042,white,1-0,1.0,1.0,23,checkmate,False
44,40043,black,0-1,1.0,1.0,48,checkmate,False
45,40044,white,1/2-1/2,0.0,0.5,100,max_plies,False
