episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
1,94000,white,1-0,1.0,1.0,81,checkmate,False
2,94001,black,1/2-1/2,0.0,0.5,138,threefold_repetition,False
3,94002,white,0-1,-1.0,0.0,134,checkmate,False
4,94003,black,0-1,1.0,1.0,106,checkmate,False
5,94004,white,1/2-1/2,0.0,0.5,93,threefold_repetition,False
6,94005,black,1/2-1/2,0.0,0.5,187,insufficient_material,False
7,94006,white,1-0,1.0,1.0,103,checkmate,False
8,94007,black,1/2-1/2,0.0,0.5,96,threefold_repetition,False
9,94008,white,1-0,1.0,1.0,121,checkmate,False
10,94009,black,0-1,1.0,1.0,88,checkmate,False
11,94010,white,1/2-1/2,0.0,0.5,134,threefold_repetition,False
12,94011,black,0-1,1.0,1.0,42,checkmate,False
13,94012,white,1/2-1/2,0.0,0.5,50,threefold_repetition,False
14,94013,black,1/2-1/2,0.0,0.5,46,threefold_repetition,False
15,94014,white,1-0,1.0,1.0,57,checkmate,False
16,94015,black,1/2-1/2,0.0,0.5,126,threefold_repetition,False
17,94016,white,1-0,1.0,1.0,125,checkmate,False
18,94017,black,1/2-1/2,0.0,0.5,187,threefold_repetition,False
19,94018,white,1/2-1/2,0.0,0.5,87,threefold_repetition,False
20,94019,black,1/2-1/2,0.0,0.5,200,max_plies,False
21,94020,white,1-0,1.0,1.0,151,checkmate,False
22,94021,black,1/2-1/2,0.0,0.5,125,threefold_repetition,False
23,94022,white,1/2-1/2,0.0,0.5,90,threefold_repetition,False
24,94023,black,1/2-1/2,0.0,0.5,45,threefold_repetition,False
25,94024,white,1-0,1.0,1.0,127,checkmate,False
26,94025,black,0-1,1.0,1.0,24,checkmate,False
27,94026,white,1/2-1/2,0.0,0.5,91,threefold_repetition,False
28,94027,black,1/2-1/2,0.0,0.5,112,threefold_repetition,False
29,94028,white,1/2-1/2,0.0,0.5,155,stalemate,False
30,94029,black,1/2-1/2,0.0,0.5,69,threefold_repetition,False
31,94030,white,1-0,1.0,1.0,69,checkmate,False
32,94031,black,1/2-1/2,0.0,0.5,72,threefold_repetition,False
33,94032,white,1/2-1/2,0.0,0.5,59,threefold_repetition,False
34,94033,black,1/2-1/2,0.0,0.5,59,threefold_repetition,False
35,94034,white,1/2-1/2,0.0,0.5,200,max_plies,False
36,94035,black,1/2-1/2,0.0,0.5,145,threefold_repetition,False
37,94036,white,0-1,-1.0,0.0,54,checkmate,False
38,94037,black,1/2-1/2,0.0,0.5,130,threefold_repetition,False
39,94038,white,1-0,1.0,1.0,27,checkmate,False
40,94039,black,0-1,1.0,1.0,72,checkmate,False
41,94040,white,1/2-1/2,0.0,0.5,152,threefold_repetition,False
