episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
1,20000,white,0-1,-1.0,0.0,64,checkmate,False
2,20001,black,1-0,-1.0,0.0,43,checkmate,False
3,20002,white,0-1,-1.0,0.0,64,checkmate,False
4,20003,black,1-0,-1.0,0.0,43,checkmate,False
5,20004,white,0-1,-1.0,0.0,64,checkmate,False
6,20005,black,1-0,-1.0,0.0,43,checkmate,False
7,20006,white,0-1,-1.0,0.0,64,checkmate,False
8,20007,black,1-0,-1.0,0.0,43,checkmate,False
9,20008,white,0-1,-1.0,0.0,64,checkmate,False
10,20009,black,1-0,-1.0,0.0,43,checkmate,False
11,20010,white,0-1,-1.0,0.0,64,checkmate,False
12,20011,black,1-0,-1.0,0.0,43,checkmate,False
13,20012,white,0-1,-1.0,0.0,64,checkmate,False
14,20013,black,1-0,-1.0,0.0,43,checkmate,False
15,20014,white,0-1,-1.0,0.0,64,checkmate,False
16,20015,black,1-0,-1.0,0.0,43,checkmate,False
17,20016,white,0-1,-1.0,0.0,64,checkmate,False
18,20017,black,1-0,-1.0,0.0,43,checkmate,False
19,20018,white,0-1,-1.0,0.0,64,checkmate,False
20,20019,black,1-0,-1.0,0.0,43,checkmate,False
21,20020,white,0-1,-1.0,0.0,64,checkmate,False
22,20021,black,1-0,-1.0,0.0,43,checkmate,False
23,20022,white,0-1,-1.0,0.0,64,checkmate,False
24,20023,black,1-0,-1.0,0.0,43,checkmate,False
25,20024,white,0-1,-1.0,0.0,64,checkmate,False
26,20025,black,1-0,-1.0,0.0,43,checkmate,False
27,20026,white,0-1,-1.0,0.0,64,checkmate,False
28,20027,black,1-0,-1.0,0.0,43,checkmate,False
29,20028,white,0-1,-1.0,0.0,64,checkmate,False
30,20029,black,1-0,-1.0,0.0,43,checkmate,False
31,20030,white,0-1,-1.0,0.0,64,checkmate,False
32,20031,black,1-0,-1.0,0.0,43,checkmate,False
33,20032,white,0-1,-1.0,0.0,64,checkmate,False
34,20033,black,1-0,-1.0,0.0,43,checkmate,False
