episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
1,21000,white,0-1,-1.0,0.0,42,checkmate,False
2,21001,black,1-0,-1.0,0.0,51,checkmate,False
3,21002,white,0-1,-1.0,0.0,56,checkmate,False
4,21003,black,1-0,-1.0,0.0,73,checkmate,False
5,21004,white,0-1,-1.0,0.0,74,checkmate,False
6,21005,black,1-0,-1.0,0.0,37,checkmate,False
7,21006,white,0-1,-1.0,0.0,30,checkmate,False
8,21007,black,1-0,-1.0,0.0,39,checkmate,False
9,21008,white,0-1,-1.0,0.0,26,checkmate,False
10,21009,black,1-0,-1.0,0.0,51,checkmate,False
11,21010,white,0-1,-1.0,0.0,54,checkmate,False
12,21011,black,1-0,-1.0,0.0,39,checkmate,False
13,21012,white,0-1,-1.0,0.0,32,checkmate,False
14,21013,black,1-0,-1.0,0.0,47,checkmate,False
15,21014,white,0-1,-1.0,0.0,58,checkmate,False
16,21015,black,1-0,-1.0,0.0,39,checkmate,False
17,21016,white,0-1,-1.0,0.0,54,checkmate,False
18,21017,black,1-0,-1.0,0.0,39,checkmate,False
19,21018,white,0-1,-1.0,0.0,30,checkmate,False
20,21019,black,1-0,-1.0,0.0,47,checkmate,False
21,21020,white,0-1,-1.0,0.0,34,checkmate,False
22,21021,black,1-0,-1.0,0.0,19,checkmate,False
23,21022,white,0-1,-1.0,0.0,38,checkmate,False
24,21023,black,1-0,-1.0,0.0,45,checkmate,False
25,21024,white,0-1,-1.0,0.0,60,checkmate,False
26,21025,black,1-0,-1.0,0.0,15,checkmate,False
27,21026,white,0-1,-1.0,0.0,22,checkmate,False
28,21027,black,1-0,-1.0,0.0,27,checkmate,False
29,21028,white,0-1,-1.0,0.0,30,checkmate,False
30,21029,black,1-0,-1.0,0.0,49,checkmate,False
31,21030,white,0-1,-1.0,0.0,46,checkmate,False
32,21031,black,1-0,-1.0,0.0,51,checkmate,False
33,21032,white,0-1,-1.0,0.0,48,checkmate,False
34,21033,black,1-0,-1.0,0.0,47,checkmate,False
35,21034,white,0-1,-1.0,0.0,12,checkmate,False
36,21035,black,1-0,-1.0,0.0,49,checkmate,False
37,21036,white,0-1,-1.0,0.0,76,checkmate,False
38,21037,black,1-0,-1.0,0.0,33,checkmate,False
39,21038,white,0-1,-1.0,0.0,24,checkmate,False
40,21039,black,1-0,-1.0,0.0,17,checkmate,False
41,21040,white,0-1,-1.0,0.0,24,checkmate,False
42,21041,black,1-0,-1.0,0.0,25,checkmate,False
43,21042,white,0-1,-1.0,0.0,20,checkmate,False
44,21043,black,1-0,-1.0,0.0,39,checkmate,False
45,21044,white,0-1,-1.0,0.0,42,checkmate,False
46,21045,black,1-0,-1.0,0.0,35,checkmate,False
47,21046,white,0-1,-1.0,0.0,40,checkmate,False
48,21047,black,1-0,-1.0,0.0,19,checkmate,False
49,21048,white,0-1,-1.0,0.0,36,checkmate,False
50,21049,black,1-0,-1.0,0.0,17,checkmate,False
51,21050,white,0-1,-1.0,0.0,32,checkmate,False
52,21051,black,1-0,-1.0,0.0,21,checkmate,False
53,21052,white,0-1,-1.0,0.0,36,checkmate,False
54,21053,black,1-0,-1.0,0.0,19,checkmate,False
55,21054,white,0-1,-1.0,0.0,30,checkmate,False
56,21055,black,1-0,-1.0,0.0,51,checkmate,False
57,21056,white,0-1,-1.0,0.0,36,checkmate,False
58,21057,black,1-0,-1.0,0.0,53,checkmate,False
59,21058,white,0-1,-1.0,0.0,38,checkmate,False
60,21059,black,1-0,-1.0,0.0,27,checkmate,False
61,21060,white,0-1,-1.0,0.0,22,checkmate,False
62,21061,black,1-0,-1.0,0.0,25,checkmate,False
63,21062,white,0-1,-1.0,0.0,34,checkmate,False
64,21063,black,1-0,-1.0,0.0,31,checkmate,False
65,21064,white,0-1,-1.0,0.0,32,checkmate,False
66,21065,black,1-0,-1.0,0.0,33,checkmate,False
67,21066,white,0-1,-1.0,0.0,38,checkmate,False
68,21067,black,1-0,-1.0,0.0,47,checkmate,False
69,21068,white,0-1,-1.0,0.0,54,checkmate,False
70,21069,black,1-0,-1.0,0.0,33,checkmate,False
71,21070,white,0-1,-1.0,0.0,50,checkmate,False
72,21071,black,1-0,-1.0,0.0,21,checkmate,False
73,21072,white,0-1,-1.0,0.0,44,checkmate,False
74,21073,black,1-0,-1.0,0.0,45,checkmate,False
75,21074,white,0-1,-1.0,0.0,58,checkmate,False
76,21075,black,1-0,-1.0,0.0,19,checkmate,False
77,21076,white,0-1,-1.0,0.0,46,checkmate,False
78,21077,black,1-0,-1.0,0.0,19,checkmate,False
79,21078,white,0-1,-1.0,0.0,64,checkmate,False
80,21079,black,1-0,-1.0,0.0,33,checkmate,False
81,21080,white,0-1,-1.0,0.0,26,checkmate,False
82,21081,black,1-0,-1.0,0.0,23,checkmate,False
83,21082,white,0-1,-1.0,0.0,50,checkmate,False
84,21083,black,1-0,-1.0,0.0,19,checkmate,False
85,21084,white,0-1,-1.0,0.0,56,checkmate,False
86,21085,black,1-0,-1.0,0.0,45,checkmate,False
87,21086,white,0-1,-1.0,0.0,40,checkmate,False
88,21087,black,1-0,-1.0,0.0,29,checkmate,False
89,21088,white,0-1,-1.0,0.0,46,checkmate,False
90,21089,black,1-0,-1.0,0.0,31,checkmate,False
91,21090,white,0-1,-1.0,0.0,22,checkmate,False
92,21091,black,1-0,-1.0,0.0,13,checkmate,False
93,21092,white,0-1,-1.0,0.0,42,checkmate,False
