episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
1,30000,white,1/2-1/2,0.0,0.5,100,max_plies,False
2,30001,black,0-1,1.0,1.0,48,checkmate,False
3,30002,white,1-0,1.0,1.0,49,checkmate,False
4,30003,black,0-1,1.0,1.0,34,checkmate,False
5,30004,white,1/2-1/2,0.0,0.5,100,max_plies,False
6,30005,black,0-1,1.0,1.0,80,checkmate,False
7,30006,white,1-0,1.0,1.0,65,checkmate,False
8,30007,black,0-1,1.0,1.0,44,checkmate,False
9,30008,white,1/2-1/2,0.0,0.5,92,threefold_repetition,False
10,30009,black,0-1,1.0,1.0,14,checkmate,False
11,30010,white,1/2-1/2,0.0,0.5,89,threefold_repetition,False
12,30011,black,1/2-1/2,0.0,0.5,100,max_plies,False
13,30012,white,1-0,1.0,1.0,95,checkmate,False
14,30013,black,1/2-1/2,0.0,0.5,90,threefold_repetition,False
15,30014,white,1-0,1.0,1.0,67,checkmate,False
16,30015,black,1/2-1/2,0.0,0.5,100,max_plies,False
17,30016,white,1-0,1.0,1.0,65,checkmate,False
18,30017,black,1/2-1/2,0.0,0.5,100,max_plies,False
19,30018,white,1/2-1/2,0.0,0.5,100,max_plies,False
20,30019,black,0-1,1.0,1.0,18,checkmate,False
21,30020,white,1-0,1.0,1.0,9,checkmate,False
22,30021,black,0-1,1.0,1.0,32,checkmate,False
23,30022,white,1-0,1.0,1.0,27,checkmate,False
24,30023,black,1/2-1/2,0.0,0.5,100,max_plies,False
25,30024,white,1-0,1.0,1.0,41,checkmate,False
26,30025,black,1/2-1/2,0.0,0.5,100,max_plies,False
27,30026,white,1/2-1/2,0.0,0.5,94,threefold_repetition,False
28,30027,black,0-1,1.0,1.0,94,checkmate,False
29,30028,white,1-0,1.0,1.0,37,checkmate,False
30,30029,black,1/2-1/2,0.0,0.5,100,max_plies,False
31,30030,white,1/2-1/2,0.0,0.5,100,max_plies,False
32,30031,black,0-1,1.0,1.0,54,checkmate,False
33,30032,white,1/2-1/2,0.0,0.5,100,max_plies,False
34,30033,black,1/2-1/2,0.0,0.5,87,threefold_repetition,False
35,30034,white,1-0,1.0,1.0,29,checkmate,False
36,30035,black,0-1,1.0,1.0,86,checkmate,False
37,30036,white,1-0,1.0,1.0,11,checkmate,False
38,30037,black,1/2-1/2,0.0,0.5,100,max_plies,False
39,30038,white,1-0,1.0,1.0,55,checkmate,False
40,30039,black,1/2-1/2,0.0,0.5,100,max_plies,False
41,30040,white,1/2-1/2,0.0,0.5,61,threefold_repetition,False
42,30041,black,1/2-1/2,0.0,0.5,64,threefold_repetition,False
43,30042,white,1/2-1/2,0.0,0.5,100,max_plies,False
44,30043,black,1/2-1/2,0.0,0.5,100,max_plies,False
45,30044,white,1-0,1.0,1.0,47,checkmate,False
46,30045,black,0-1,1.0,1.0,36,checkmate,False
47,30046,white,1-0,1.0,1.0,17,checkmate,False
48,30047,black,0-1,1.0,1.0,92,checkmate,False
49,30048,white,1/2-1/2,0.0,0.5,100,max_plies,False
50,30049,black,1/2-1/2,0.0,0.5,97,threefold_repetition,False
51,30050,white,1/2-1/2,0.0,0.5,100,max_plies,False
52,30051,black,1-0,-1.0,0.0,89,checkmate,False
53,30052,white,1-0,1.0,1.0,49,checkmate,False
54,30053,black,0-1,1.0,1.0,32,checkmate,False
55,30054,white,1-0,1.0,1.0,21,checkmate,False
56,30055,black,1/2-1/2,0.0,0.5,100,max_plies,False
57,30056,white,1/2-1/2,0.0,0.5,100,max_plies,False
58,30057,black,1/2-1/2,0.0,0.5,80,threefold_repetition,False
59,30058,white,1/2-1/2,0.0,0.5,100,max_plies,False
60,30059,black,1/2-1/2,0.0,0.5,100,max_plies,False
61,30060,white,1-0,1.0,1.0,23,checkmate,False
62,30061,black,1/2-1/2,0.0,0.5,72,threefold_repetition,False
63,30062,white,1/2-1/2,0.0,0.5,85,threefold_repetition,False
64,30063,black,0-1,1.0,1.0,24,checkmate,False
65,30064,white,1/2-1/2,0.0,0.5,100,max_plies,False
66,30065,black,1/2-1/2,0.0,0.5,100,max_plies,False
67,30066,white,1/2-1/2,0.0,0.5,100,max_plies,False
68,30067,black,0-1,1.0,1.0,66,checkmate,False
69,30068,white,1-0,1.0,1.0,29,checkmate,False
70,30069,black,0-1,1.0,1.0,68,checkmate,False
71,30070,white,1/2-1/2,0.0,0.5,100,max_plies,False
72,30071,black,1/2-1/2,0.0,0.5,100,max_plies,False
73,30072,white,1/2-1/2,0.0,0.5,100,max_plies,False
74,30073,black,1/2-1/2,0.0,0.5,79,threefold_repetition,False
75,30074,white,1-0,1.0,1.0,63,checkmate,False
76,30075,black,0-1,1.0,1.0,64,checkmate,False
77,30076,white,1/2-1/2,0.0,0.5,100,max_plies,False
78,30077,black,1/2-1/2,0.0,0.5,100,max_plies,False
79,30078,white,1/2-1/2,0.0,0.5,100,max_plies,False
80,30079,black,1/2-1/2,0.0,0.5,100,max_plies,False
81,30080,white,1-0,1.0,1.0,27,checkmate,False
82,30081,black,1/2-1/2,0.0,0.5,97,threefold_repetition,False
83,30082,white,1/2-1/2,0.0,0.5,42,threefold_repetition,False
84,30083,black,0-1,1.0,1.0,20,checkmate,False
85,30084,white,1-0,1.0,1.0,53,checkmate,False
86,30085,black,0-1,1.0,1.0,90,checkmate,False
87,30086,white,1-0,1.0,1.0,7,checkmate,False
88,30087,black,1/2-1/2,0.0,0.5,82,threefold_repetition,False
89,30088,white,1/2-1/2,0.0,0.5,22,threefold_repetition,False
90,30089,black,1/2-1/2,0.0,0.5,100,max_plies,False
91,30090,white,1/2-1/2,0.0,0.5,94,threefold_repetition,False
92,30091,black,0-1,1.0,1.0,56,checkmate,False
93,30092,white,1/2-1/2,0.0,0.5,100,max_plies,False
94,30093,black,0-1,1.0,1.0,28,checkmate,False
95,30094,white,1-0,1.0,1.0,43,checkmate,False
96,30095,black,1/2-1/2,0.0,0.5,100,max_plies,False
97,30096,white,1/2-1/2,0.0,0.5,100,max_plies,False
98,30097,black,1/2-1/2,0.0,0.5,100,max_plies,False
99,30098,white,1/2-1/2,0.0,0.5,100,max_plies,False
100,30099,black,1/2-1/2,0.0,0.5,100,max_plies,False
101,30100,white,1-0,1.0,1.0,89,checkmate,False
102,30101,black,0-1,1.0,1.0,12,checkmate,False
103,30102,white,1-0,1.0,1.0,41,checkmate,False
104,30103,black,1/2-1/2,0.0,0.5,63,threefold_repetition,False
105,30104,white,1/2-1/2,0.0,0.5,100,max_plies,False
106,30105,black,0-1,1.0,1.0,14,checkmate,False
107,30106,white,1/2-1/2,0.0,0.5,100,max_plies,False
108,30107,black,1/2-1/2,0.0,0.5,100,max_plies,False
109,30108,white,1-0,1.0,1.0,25,checkmate,False
110,30109,black,1/2-1/2,0.0,0.5,100,max_plies,False
111,30110,white,1-0,1.0,1.0,95,checkmate,False
112,30111,black,0-1,1.0,1.0,26,checkmate,False
113,30112,white,1-0,1.0,1.0,23,checkmate,False
114,30113,black,0-1,1.0,1.0,96,checkmate,False
